ReviewText,Rating,SentimentLabel,ProductCategory,ReviewDate,ReviewerInformation,Cleaned_Review
"The book is okay, but not my favorite genre.",2,Negative,Books,2018-11-15,Mia7012,book okay favorite genre
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",4,Positive,Books,2021-03-06,Annette1634,book okay favorite genre would recommend anyone
The device is fine but nothing exceptional.,2,Negative,Electronics,2022-08-30,Ashley4774,device fine nothing exceptional
Terrible fit and poor quality fabric.,1,Negative,Clothing,2021-05-11,Christopher7777,terrible fit poor quality fabric
It stopped working after a week. Really disappointed.,3,Neutral,Electronics,2015-08-19,Ashley8015,stopped working week really disappointed
Terrible fit and poor quality fabric.,2,Negative,Clothing,2020-05-27,Aaron1967,terrible fit poor quality fabric
An amazing read with a gripping story.,2,Negative,Books,2021-06-19,Victoria6651,amazing read gripping story
It stopped working after a week. Really disappointed.,5,Positive,Electronics,2020-02-18,Vanessa2724,stopped working week really disappointed
Fits perfectly and looks great!,4,Positive,Clothing,2021-06-14,Felicia1230,fits perfectly looks great
An amazing read with a gripping story. Loved it! Would definitely consider buying again!,4,Positive,Books,2020-10-09,Angela8675,amazing read gripping story loved would definitely consider buying
The material is average but wearable.,3,Neutral,Clothing,2022-10-20,Sherry3739,material average wearable
This product works perfectly.,5,Positive,Electronics,2019-12-15,Nicole3815,product works perfectly
This product works perfectly. Highly recommended! Would definitely consider buying again!,2,Negative,Electronics,2023-08-11,Jill7458,product works perfectly highly recommended would definitely consider buying
Terrible fit and poor quality fabric. I would not recommend this to anyone.,4,Positive,Clothing,2018-03-13,Darrell2074,terrible fit poor quality fabric would recommend anyone
Fits perfectly and looks great! Would definitely consider buying again!,3,Neutral,Clothing,2021-04-24,Patrick3862,fits perfectly looks great would definitely consider buying
An amazing read with a gripping story. Loved it!,4,Positive,Books,2021-04-19,Tyler2923,amazing read gripping story loved
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,5,Positive,Electronics,2019-11-16,James9670,stopped working week really disappointed would recommend anyone
An amazing read with a gripping story. Loved it! Would definitely consider buying again!,3,Neutral,Books,2016-10-07,Julie7326,amazing read gripping story loved would definitely consider buying
The device is fine but nothing exceptional.,5,Positive,Electronics,2018-06-12,Jeremy7253,device fine nothing exceptional
"The book is okay, but not my favorite genre.",1,Negative,Books,2018-05-24,Jamie2370,book okay favorite genre
The material is average but wearable.,5,Positive,Clothing,2023-01-26,Thomas2626,material average wearable
"The book is okay, but not my favorite genre.",4,Positive,Books,2019-07-12,Christine1540,book okay favorite genre
Fits perfectly and looks great! Would definitely consider buying again!,1,Negative,Clothing,2018-11-15,Tammy6504,fits perfectly looks great would definitely consider buying
The device is fine but nothing exceptional. I would not recommend this to anyone.,3,Neutral,Electronics,2017-02-26,Curtis4180,device fine nothing exceptional would recommend anyone
An amazing read with a gripping story.,4,Positive,Books,2018-12-14,Faith4820,amazing read gripping story
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,3,Neutral,Electronics,2019-12-28,Daniel8991,stopped working week really disappointed would recommend anyone
Fits perfectly and looks great!.,4,Positive,Clothing,2018-01-05,Patricia9172,fits perfectly looks great
Terrible fit and poor quality fabric.,1,Negative,Clothing,2018-03-18,David3831,terrible fit poor quality fabric
"The plot was boring, and the writing was subpar.",2,Negative,Books,2016-02-14,Jonathan2046,plot boring writing subpar
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,5,Positive,Electronics,2020-10-11,Ryan4622,stopped working week really disappointed would recommend anyone
This product works perfectly.,3,Neutral,Electronics,2018-07-03,Alexandria5207,product works perfectly
It stopped working after a week.,1,Negative,Electronics,2019-04-12,Mary5307,stopped working week
Fits perfectly and looks great! Would definitely consider buying again!,2,Negative,Clothing,2022-09-18,Keith8447,fits perfectly looks great would definitely consider buying
Terrible fit and poor quality fabric.,3,Neutral,Clothing,2018-10-13,Allen9023,terrible fit poor quality fabric
The material is average but wearable.,1,Negative,Clothing,2015-03-05,Eric5358,material average wearable
An amazing read with a gripping story.,4,Positive,Books,2017-04-27,Nicole8457,amazing read gripping story
"The plot was boring, and the writing was subpar.",5,Positive,Books,2023-09-04,Stephanie2314,plot boring writing subpar
The material is average but wearable.,4,Positive,Clothing,2020-10-28,Kristy3044,material average wearable
"The book is okay, but not my favorite genre.",3,Neutral,Books,2018-09-06,Gregory9577,book okay favorite genre
The device is fine but nothing exceptional. I would not recommend this to anyone.,5,Positive,Electronics,2022-01-17,Shelley7442,device fine nothing exceptional would recommend anyone
It stopped working after a week. Really disappointed.,4,Positive,Electronics,2022-08-18,Jenna5202,stopped working week really disappointed
"The book is okay, but not my favorite genre.",4,Positive,Books,2020-05-10,Patricia4194,book okay favorite genre
Fits perfectly and looks great!,3,Neutral,Clothing,2015-12-01,Nicholas7833,fits perfectly looks great
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",2,Negative,Books,2023-09-21,Laura7324,book okay favorite genre would recommend anyone
An amazing read with a gripping story. Loved it! Would definitely consider buying again!,2,Negative,Books,2015-04-16,James6006,amazing read gripping story loved would definitely consider buying
The device is fine but nothing exceptional.,1,Negative,Electronics,2015-03-04,Christopher5073,device fine nothing exceptional
The device is fine but nothing exceptional. I would not recommend this to anyone.,4,Positive,Electronics,2020-03-09,Douglas2885,device fine nothing exceptional would recommend anyone
Fits perfectly and looks great! Would definitely consider buying again!,3,Neutral,Clothing,2020-02-18,Luke8476,fits perfectly looks great would definitely consider buying
The material is average but wearable.,3,Neutral,Clothing,2023-02-04,Dawn8998,material average wearable
The device is fine but nothing exceptional.,5,Positive,Electronics,2019-04-16,Mariah2526,device fine nothing exceptional
"The book is okay, but not my favorite genre.",4,Positive,Books,2020-08-14,Elizabeth9431,book okay favorite genre
"The plot was boring, and the writing was subpar.",3,Neutral,Books,2015-03-17,Katherine2895,plot boring writing subpar
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,1,Negative,Electronics,2019-07-12,Andrew7406,stopped working week really disappointed would recommend anyone
An amazing read with a gripping story. Loved it!,1,Negative,Books,2020-01-13,Jessica8402,amazing read gripping story loved
The material is average but wearable. I would not recommend this to anyone.,1,Negative,Clothing,2023-06-23,Denise3610,material average wearable would recommend anyone
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",4,Positive,Books,2023-08-02,Adam8957,book okay favorite genre would recommend anyone
The material is average but wearable. I would not recommend this to anyone.,1,Negative,Clothing,2018-04-06,Joshua9185,material average wearable would recommend anyone
This product works perfectly.,2,Negative,Electronics,2023-04-29,Brenda9743,product works perfectly
"The plot was boring, and the writing was subpar.",5,Positive,Books,2021-06-28,Katherine4221,plot boring writing subpar
This product works perfectly. Highly recommended! Would definitely consider buying again!,4,Positive,Electronics,2018-04-20,Heather8590,product works perfectly highly recommended would definitely consider buying
It stopped working after a week. Really disappointed.,3,Neutral,Electronics,2016-11-25,Edward9548,stopped working week really disappointed
An amazing read with a gripping story. Loved it! Would definitely consider buying again!,5,Positive,Books,2016-06-12,Sandra5267,amazing read gripping story loved would definitely consider buying
This product works perfectly. Highly recommended!,4,Positive,Electronics,2022-08-29,Scott4934,product works perfectly highly recommended
It stopped working after a week.,3,Neutral,Electronics,2022-04-06,Malik4815,stopped working week
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,4,Positive,Electronics,2022-01-25,Karen7698,stopped working week really disappointed would recommend anyone
The device is fine but nothing exceptional.,4,Positive,Electronics,2023-09-27,Sara7134,device fine nothing exceptional
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,1,Negative,Electronics,2016-09-20,Michael8019,stopped working week really disappointed would recommend anyone
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,1,Negative,Electronics,2018-04-22,Matthew1310,stopped working week really disappointed would recommend anyone
"The plot was boring, and the writing was subpar. I would not recommend this to anyone.",5,Positive,Books,2021-04-04,Whitney8348,plot boring writing subpar would recommend anyone
Fits perfectly and looks great!,1,Negative,Clothing,2021-06-17,Dawn2810,fits perfectly looks great
Fits perfectly and looks great!.,3,Neutral,Clothing,2022-08-06,Rebecca7187,fits perfectly looks great
"The book is okay, but not my favorite genre.",1,Negative,Books,2019-01-01,Karen8044,book okay favorite genre
The material is average but wearable. I would not recommend this to anyone.,1,Negative,Clothing,2023-10-08,Jennifer5531,material average wearable would recommend anyone
The material is average but wearable.,4,Positive,Clothing,2023-07-04,Laura5213,material average wearable
The material is average but wearable.,4,Positive,Clothing,2016-04-26,Bryan3893,material average wearable
Terrible fit and poor quality fabric.,5,Positive,Clothing,2020-02-16,Sherri3182,terrible fit poor quality fabric
This product works perfectly. Highly recommended!,5,Positive,Electronics,2022-07-23,Edwin3043,product works perfectly highly recommended
An amazing read with a gripping story. Loved it!,3,Neutral,Books,2015-08-06,Donald6394,amazing read gripping story loved
Terrible fit and poor quality fabric.,2,Negative,Clothing,2015-10-21,Victoria2568,terrible fit poor quality fabric
Terrible fit and poor quality fabric.,1,Negative,Clothing,2017-06-06,Amanda2508,terrible fit poor quality fabric
It stopped working after a week. Really disappointed.,2,Negative,Electronics,2018-02-04,Ryan6753,stopped working week really disappointed
An amazing read with a gripping story.,4,Positive,Books,2021-04-06,Melissa5254,amazing read gripping story
"The plot was boring, and the writing was subpar.",5,Positive,Books,2015-05-20,Victoria9137,plot boring writing subpar
Fits perfectly and looks great! Would definitely consider buying again!,5,Positive,Clothing,2020-04-12,Lauren7561,fits perfectly looks great would definitely consider buying
The material is average but wearable.,2,Negative,Clothing,2022-12-08,Lisa7498,material average wearable
"The plot was boring, and the writing was subpar.",4,Positive,Books,2022-11-28,Max6013,plot boring writing subpar
This product works perfectly. Highly recommended! Would definitely consider buying again!,1,Negative,Electronics,2019-12-13,George2162,product works perfectly highly recommended would definitely consider buying
The material is average but wearable.,4,Positive,Clothing,2018-04-14,Eric4565,material average wearable
"The plot was boring, and the writing was subpar.",3,Neutral,Books,2020-11-07,Brittany2666,plot boring writing subpar
An amazing read with a gripping story. Loved it! Would definitely consider buying again!,4,Positive,Books,2023-01-02,Kristin4930,amazing read gripping story loved would definitely consider buying
Fits perfectly and looks great!.,5,Positive,Clothing,2017-10-19,Jimmy4330,fits perfectly looks great
The device is fine but nothing exceptional. I would not recommend this to anyone.,4,Positive,Electronics,2018-02-22,Andrea3850,device fine nothing exceptional would recommend anyone
"The plot was boring, and the writing was subpar.",4,Positive,Books,2022-06-30,Michelle6115,plot boring writing subpar
The device is fine but nothing exceptional. I would not recommend this to anyone.,3,Neutral,Electronics,2020-02-21,Eric7494,device fine nothing exceptional would recommend anyone
This product works perfectly. Highly recommended! Would definitely consider buying again!,1,Negative,Electronics,2018-11-06,Kimberly8758,product works perfectly highly recommended would definitely consider buying
Fits perfectly and looks great! Would definitely consider buying again!,1,Negative,Clothing,2021-08-04,George2876,fits perfectly looks great would definitely consider buying
It stopped working after a week.,3,Neutral,Electronics,2016-12-02,Joseph9998,stopped working week
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",1,Negative,Books,2020-12-30,James6565,book okay favorite genre would recommend anyone
The device is fine but nothing exceptional.,2,Negative,Electronics,2023-03-11,Kaylee4862,device fine nothing exceptional
Fits perfectly and looks great! Would definitely consider buying again!,3,Neutral,Clothing,2021-10-31,Lorraine3961,fits perfectly looks great would definitely consider buying
"The plot was boring, and the writing was subpar. I would not recommend this to anyone.",3,Neutral,Books,2023-01-20,John7424,plot boring writing subpar would recommend anyone
Fits perfectly and looks great!,5,Positive,Clothing,2015-06-13,David4324,fits perfectly looks great
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,4,Positive,Electronics,2019-02-18,Troy2675,stopped working week really disappointed would recommend anyone
"The book is okay, but not my favorite genre.",1,Negative,Books,2019-09-04,Jacob9387,book okay favorite genre
The device is fine but nothing exceptional.,1,Negative,Electronics,2022-07-13,Christian8215,device fine nothing exceptional
This product works perfectly. Highly recommended! Would definitely consider buying again!,3,Neutral,Electronics,2018-08-18,Rachel5282,product works perfectly highly recommended would definitely consider buying
The material is average but wearable.,2,Negative,Clothing,2020-01-05,Michael4639,material average wearable
Terrible fit and poor quality fabric.,4,Positive,Clothing,2018-09-05,Laura5542,terrible fit poor quality fabric
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",5,Positive,Books,2023-09-14,Elizabeth4616,book okay favorite genre would recommend anyone
The material is average but wearable.,2,Negative,Clothing,2016-07-05,Ryan8785,material average wearable
Terrible fit and poor quality fabric.,1,Negative,Clothing,2019-02-11,Isaac2566,terrible fit poor quality fabric
"The book is okay, but not my favorite genre.",1,Negative,Books,2017-10-03,Catherine8828,book okay favorite genre
The device is fine but nothing exceptional.,5,Positive,Electronics,2019-08-22,Michael6145,device fine nothing exceptional
An amazing read with a gripping story. Loved it!,2,Negative,Books,2022-11-25,Maria9117,amazing read gripping story loved
This product works perfectly. Highly recommended! Would definitely consider buying again!,1,Negative,Electronics,2015-06-18,Ryan7453,product works perfectly highly recommended would definitely consider buying
"The book is okay, but not my favorite genre.",2,Negative,Books,2017-09-02,Matthew9320,book okay favorite genre
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,4,Positive,Electronics,2022-07-11,Erika8658,stopped working week really disappointed would recommend anyone
Fits perfectly and looks great! Would definitely consider buying again!,2,Negative,Clothing,2018-12-19,Gerald3462,fits perfectly looks great would definitely consider buying
The material is average but wearable.,4,Positive,Clothing,2020-09-16,Christine2694,material average wearable
"The book is okay, but not my favorite genre.",3,Neutral,Books,2018-06-24,Peter4572,book okay favorite genre
This product works perfectly.,1,Negative,Electronics,2019-10-05,Anthony6360,product works perfectly
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",5,Positive,Books,2017-11-03,Tonya8960,book okay favorite genre would recommend anyone
An amazing read with a gripping story. Loved it!,3,Neutral,Books,2021-08-18,Thomas3417,amazing read gripping story loved
The device is fine but nothing exceptional.,1,Negative,Electronics,2017-04-18,Taylor3656,device fine nothing exceptional
An amazing read with a gripping story.,4,Positive,Books,2016-08-25,Miranda6675,amazing read gripping story
The device is fine but nothing exceptional. I would not recommend this to anyone.,2,Negative,Electronics,2020-09-18,Diane2294,device fine nothing exceptional would recommend anyone
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,3,Neutral,Electronics,2023-02-07,Gregory9922,stopped working week really disappointed would recommend anyone
"The plot was boring, and the writing was subpar. I would not recommend this to anyone.",5,Positive,Books,2018-11-15,Jason9452,plot boring writing subpar would recommend anyone
An amazing read with a gripping story.,3,Neutral,Books,2016-07-25,Jeanette2573,amazing read gripping story
This product works perfectly. Highly recommended! Would definitely consider buying again!,4,Positive,Electronics,2016-09-27,Amber2518,product works perfectly highly recommended would definitely consider buying
"The plot was boring, and the writing was subpar. I would not recommend this to anyone.",1,Negative,Books,2015-11-21,Kathryn9559,plot boring writing subpar would recommend anyone
The device is fine but nothing exceptional.,4,Positive,Electronics,2018-12-25,Seth9314,device fine nothing exceptional
The device is fine but nothing exceptional.,1,Negative,Electronics,2023-12-06,Shari3948,device fine nothing exceptional
Fits perfectly and looks great!,2,Negative,Clothing,2022-07-13,Anthony3257,fits perfectly looks great
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,5,Positive,Electronics,2019-12-19,Carolyn8950,stopped working week really disappointed would recommend anyone
"The book is okay, but not my favorite genre.",4,Positive,Books,2016-08-20,Taylor4966,book okay favorite genre
This product works perfectly.,3,Neutral,Electronics,2021-05-03,Jeffrey1101,product works perfectly
"The plot was boring, and the writing was subpar.",2,Negative,Books,2021-08-07,Linda4144,plot boring writing subpar
"The book is okay, but not my favorite genre.",3,Neutral,Books,2022-12-09,Joshua8836,book okay favorite genre
It stopped working after a week.,1,Negative,Electronics,2023-11-27,Bobby5586,stopped working week
The material is average but wearable.,1,Negative,Clothing,2015-01-12,Joseph6149,material average wearable
This product works perfectly. Highly recommended!,1,Negative,Electronics,2023-09-15,Jason4181,product works perfectly highly recommended
This product works perfectly. Highly recommended! Would definitely consider buying again!,5,Positive,Electronics,2016-04-17,Amy2027,product works perfectly highly recommended would definitely consider buying
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",4,Positive,Books,2019-04-21,Bruce5040,book okay favorite genre would recommend anyone
The material is average but wearable.,1,Negative,Clothing,2015-09-03,Curtis9395,material average wearable
"The plot was boring, and the writing was subpar.",4,Positive,Books,2022-08-25,Bruce2145,plot boring writing subpar
An amazing read with a gripping story.,2,Negative,Books,2015-01-09,Patricia1995,amazing read gripping story
Terrible fit and poor quality fabric. I would not recommend this to anyone.,4,Positive,Clothing,2017-10-31,Chelsea1778,terrible fit poor quality fabric would recommend anyone
An amazing read with a gripping story. Loved it!,5,Positive,Books,2016-10-31,Mallory7274,amazing read gripping story loved
The device is fine but nothing exceptional.,3,Neutral,Electronics,2019-07-14,Cynthia2241,device fine nothing exceptional
"The book is okay, but not my favorite genre.",3,Neutral,Books,2016-07-31,Todd9077,book okay favorite genre
The device is fine but nothing exceptional.,2,Negative,Electronics,2023-07-06,Carlos9982,device fine nothing exceptional
Terrible fit and poor quality fabric.,1,Negative,Clothing,2021-10-25,Philip6676,terrible fit poor quality fabric
Terrible fit and poor quality fabric. I would not recommend this to anyone.,2,Negative,Clothing,2020-12-29,Paul9586,terrible fit poor quality fabric would recommend anyone
Fits perfectly and looks great!.,3,Neutral,Clothing,2023-04-18,Elizabeth2792,fits perfectly looks great
"The plot was boring, and the writing was subpar.",5,Positive,Books,2020-09-30,Jennifer6692,plot boring writing subpar
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,3,Neutral,Electronics,2015-07-16,Jonathan7226,stopped working week really disappointed would recommend anyone
"The plot was boring, and the writing was subpar.",3,Neutral,Books,2020-03-14,Todd7522,plot boring writing subpar
"The plot was boring, and the writing was subpar. I would not recommend this to anyone.",2,Negative,Books,2015-06-29,Joshua6184,plot boring writing subpar would recommend anyone
Terrible fit and poor quality fabric.,3,Neutral,Clothing,2015-11-18,Timothy1761,terrible fit poor quality fabric
The material is average but wearable.,4,Positive,Clothing,2015-01-07,Amy6020,material average wearable
This product works perfectly.,2,Negative,Electronics,2023-06-16,Gregory3252,product works perfectly
This product works perfectly. Highly recommended!,1,Negative,Electronics,2023-06-03,Brandi1470,product works perfectly highly recommended
Fits perfectly and looks great! Would definitely consider buying again!,2,Negative,Clothing,2015-12-02,Richard2041,fits perfectly looks great would definitely consider buying
The device is fine but nothing exceptional. I would not recommend this to anyone.,4,Positive,Electronics,2015-07-30,Cameron1622,device fine nothing exceptional would recommend anyone
Fits perfectly and looks great!,2,Negative,Clothing,2023-08-06,Benjamin2570,fits perfectly looks great
It stopped working after a week. Really disappointed.,5,Positive,Electronics,2017-01-19,Janice3111,stopped working week really disappointed
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,4,Positive,Electronics,2019-02-04,Jennifer8580,stopped working week really disappointed would recommend anyone
Fits perfectly and looks great!.,2,Negative,Clothing,2018-03-02,Hannah6620,fits perfectly looks great
Terrible fit and poor quality fabric.,3,Neutral,Clothing,2017-11-23,Mark9292,terrible fit poor quality fabric
Terrible fit and poor quality fabric.,1,Negative,Clothing,2019-12-31,Sandra5779,terrible fit poor quality fabric
"The book is okay, but not my favorite genre.",3,Neutral,Books,2020-03-21,Alex9156,book okay favorite genre
Fits perfectly and looks great!,1,Negative,Clothing,2022-02-22,Jacob2758,fits perfectly looks great
The material is average but wearable.,4,Positive,Clothing,2022-12-13,Heather2722,material average wearable
The material is average but wearable. I would not recommend this to anyone.,2,Negative,Clothing,2019-08-20,Brianna1800,material average wearable would recommend anyone
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,4,Positive,Electronics,2016-07-08,Michael9670,stopped working week really disappointed would recommend anyone
An amazing read with a gripping story. Loved it! Would definitely consider buying again!,2,Negative,Books,2019-09-04,Danielle9340,amazing read gripping story loved would definitely consider buying
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,4,Positive,Electronics,2018-06-10,Douglas9859,stopped working week really disappointed would recommend anyone
Fits perfectly and looks great!.,2,Negative,Clothing,2022-09-18,Susan9509,fits perfectly looks great
"The book is okay, but not my favorite genre.",5,Positive,Books,2016-01-19,Ariel2918,book okay favorite genre
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",5,Positive,Books,2015-09-06,Alyssa5387,book okay favorite genre would recommend anyone
It stopped working after a week.,3,Neutral,Electronics,2022-11-07,Joseph6099,stopped working week
Fits perfectly and looks great!.,2,Negative,Clothing,2019-03-17,Michele7331,fits perfectly looks great
"The plot was boring, and the writing was subpar. I would not recommend this to anyone.",5,Positive,Books,2020-07-10,Justin6646,plot boring writing subpar would recommend anyone
The material is average but wearable.,3,Neutral,Clothing,2023-12-25,Andrew3649,material average wearable
It stopped working after a week.,3,Neutral,Electronics,2020-08-30,Blake7957,stopped working week
An amazing read with a gripping story.,2,Negative,Books,2020-03-11,Brian6102,amazing read gripping story
Terrible fit and poor quality fabric. I would not recommend this to anyone.,5,Positive,Clothing,2018-10-07,Amy6389,terrible fit poor quality fabric would recommend anyone
Fits perfectly and looks great!.,4,Positive,Clothing,2017-11-13,Jeffrey2980,fits perfectly looks great
The device is fine but nothing exceptional.,4,Positive,Electronics,2016-09-01,Diana7020,device fine nothing exceptional
Fits perfectly and looks great!.,2,Negative,Clothing,2021-05-17,Michael2040,fits perfectly looks great
Fits perfectly and looks great!,5,Positive,Clothing,2019-05-05,Jon7735,fits perfectly looks great
"The plot was boring, and the writing was subpar. I would not recommend this to anyone.",3,Neutral,Books,2022-05-09,Kristin2463,plot boring writing subpar would recommend anyone
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",4,Positive,Books,2019-11-05,Gail2376,book okay favorite genre would recommend anyone
This product works perfectly. Highly recommended!,1,Negative,Electronics,2023-05-27,George8395,product works perfectly highly recommended
The device is fine but nothing exceptional.,3,Neutral,Electronics,2015-06-16,Michael2189,device fine nothing exceptional
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",3,Neutral,Books,2018-06-05,Jeffery5141,book okay favorite genre would recommend anyone
Terrible fit and poor quality fabric.,3,Neutral,Clothing,2019-03-21,Jennifer3440,terrible fit poor quality fabric
An amazing read with a gripping story. Loved it! Would definitely consider buying again!,4,Positive,Books,2016-07-22,Marc5254,amazing read gripping story loved would definitely consider buying
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,4,Positive,Electronics,2016-11-13,Caroline6416,stopped working week really disappointed would recommend anyone
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,3,Neutral,Electronics,2021-10-24,Kayla4317,stopped working week really disappointed would recommend anyone
Terrible fit and poor quality fabric.,3,Neutral,Clothing,2018-11-22,Kathryn2292,terrible fit poor quality fabric
"The book is okay, but not my favorite genre.",4,Positive,Books,2018-02-21,Kimberly8721,book okay favorite genre
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,1,Negative,Electronics,2020-04-12,Melinda9064,stopped working week really disappointed would recommend anyone
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,1,Negative,Electronics,2020-05-20,John3966,stopped working week really disappointed would recommend anyone
This product works perfectly. Highly recommended! Would definitely consider buying again!,1,Negative,Electronics,2021-08-06,Michele5965,product works perfectly highly recommended would definitely consider buying
An amazing read with a gripping story.,2,Negative,Books,2019-11-24,Michael5161,amazing read gripping story
This product works perfectly.,2,Negative,Electronics,2018-11-09,Holly7158,product works perfectly
"The plot was boring, and the writing was subpar.",4,Positive,Books,2015-01-05,Steven6258,plot boring writing subpar
The material is average but wearable.,5,Positive,Clothing,2023-06-17,Daniel3267,material average wearable
Fits perfectly and looks great!.,2,Negative,Clothing,2020-03-08,Carrie4027,fits perfectly looks great
The material is average but wearable.,5,Positive,Clothing,2021-03-29,April1174,material average wearable
An amazing read with a gripping story.,5,Positive,Books,2022-12-26,Michael8832,amazing read gripping story
It stopped working after a week.,2,Negative,Electronics,2021-08-23,Alex4393,stopped working week
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",5,Positive,Books,2022-04-12,Dominique9632,book okay favorite genre would recommend anyone
This product works perfectly. Highly recommended! Would definitely consider buying again!,3,Neutral,Electronics,2017-10-28,Nathaniel4545,product works perfectly highly recommended would definitely consider buying
This product works perfectly. Highly recommended!,2,Negative,Electronics,2018-04-12,Gary5964,product works perfectly highly recommended
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,5,Positive,Electronics,2019-09-01,Sarah8759,stopped working week really disappointed would recommend anyone
The device is fine but nothing exceptional.,4,Positive,Electronics,2021-01-16,Justin6386,device fine nothing exceptional
