ReviewText,Rating,SentimentLabel,ProductCategory,ReviewDate,ReviewerInformation
Fits perfectly and looks great! Would definitely consider buying again!,1,Negative,Clothing,2021-08-04,George2876
It stopped working after a week.,3,Neutral,Electronics,2016-12-02,Joseph9998
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",1,Negative,Books,2020-12-30,James6565
The device is fine but nothing exceptional.,2,Negative,Electronics,2023-03-11,Kaylee4862
Fits perfectly and looks great! Would definitely consider buying again!,3,Neutral,Clothing,2021-10-31,Lorraine3961
"The plot was boring, and the writing was subpar. I would not recommend this to anyone.",3,Neutral,Books,2023-01-20,John7424
Fits perfectly and looks great!,5,Positive,Clothing,2015-06-13,David4324
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,4,Positive,Electronics,2019-02-18,Troy2675
"The book is okay, but not my favorite genre.",1,Negative,Books,2019-09-04,Jacob9387
The device is fine but nothing exceptional.,1,Negative,Electronics,2022-07-13,Christian8215
This product works perfectly. Highly recommended! Would definitely consider buying again!,3,Neutral,Electronics,2018-08-18,Rachel5282
The material is average but wearable.,2,Negative,Clothing,2020-01-05,Michael4639
Terrible fit and poor quality fabric.,4,Positive,Clothing,2018-09-05,Laura5542
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",5,Positive,Books,2023-09-14,Elizabeth4616
The material is average but wearable.,2,Negative,Clothing,2016-07-05,Ryan8785
Terrible fit and poor quality fabric.,1,Negative,Clothing,2019-02-11,Isaac2566
"The book is okay, but not my favorite genre.",1,Negative,Books,2017-10-03,Catherine8828
The device is fine but nothing exceptional.,5,Positive,Electronics,2019-08-22,Michael6145
An amazing read with a gripping story. Loved it!,2,Negative,Books,2022-11-25,Maria9117
This product works perfectly. Highly recommended! Would definitely consider buying again!,1,Negative,Electronics,2015-06-18,Ryan7453
"The book is okay, but not my favorite genre.",2,Negative,Books,2017-09-02,Matthew9320
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,4,Positive,Electronics,2022-07-11,Erika8658
Fits perfectly and looks great! Would definitely consider buying again!,2,Negative,Clothing,2018-12-19,Gerald3462
The material is average but wearable.,4,Positive,Clothing,2020-09-16,Christine2694
"The book is okay, but not my favorite genre.",3,Neutral,Books,2018-06-24,Peter4572
This product works perfectly.,1,Negative,Electronics,2019-10-05,Anthony6360
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",5,Positive,Books,2017-11-03,Tonya8960
An amazing read with a gripping story. Loved it!,3,Neutral,Books,2021-08-18,Thomas3417
The device is fine but nothing exceptional.,1,Negative,Electronics,2017-04-18,Taylor3656
An amazing read with a gripping story.,4,Positive,Books,2016-08-25,Miranda6675
The device is fine but nothing exceptional. I would not recommend this to anyone.,2,Negative,Electronics,2020-09-18,Diane2294
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,3,Neutral,Electronics,2023-02-07,Gregory9922
"The plot was boring, and the writing was subpar. I would not recommend this to anyone.",5,Positive,Books,2018-11-15,Jason9452
An amazing read with a gripping story.,3,Neutral,Books,2016-07-25,Jeanette2573
This product works perfectly. Highly recommended! Would definitely consider buying again!,4,Positive,Electronics,2016-09-27,Amber2518
"The plot was boring, and the writing was subpar. I would not recommend this to anyone.",1,Negative,Books,2015-11-21,Kathryn9559
The device is fine but nothing exceptional.,4,Positive,Electronics,2018-12-25,Seth9314
The device is fine but nothing exceptional.,1,Negative,Electronics,2023-12-06,Shari3948
Fits perfectly and looks great!,2,Negative,Clothing,2022-07-13,Anthony3257
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,5,Positive,Electronics,2019-12-19,Carolyn8950
"The book is okay, but not my favorite genre.",4,Positive,Books,2016-08-20,Taylor4966
This product works perfectly.,3,Neutral,Electronics,2021-05-03,Jeffrey1101
"The plot was boring, and the writing was subpar.",2,Negative,Books,2021-08-07,Linda4144
"The book is okay, but not my favorite genre.",3,Neutral,Books,2022-12-09,Joshua8836
It stopped working after a week.,1,Negative,Electronics,2023-11-27,Bobby5586
The material is average but wearable.,1,Negative,Clothing,2015-01-12,Joseph6149
This product works perfectly. Highly recommended!,1,Negative,Electronics,2023-09-15,Jason4181
This product works perfectly. Highly recommended! Would definitely consider buying again!,5,Positive,Electronics,2016-04-17,Amy2027
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",4,Positive,Books,2019-04-21,Bruce5040
The material is average but wearable.,1,Negative,Clothing,2015-09-03,Curtis9395
"The plot was boring, and the writing was subpar.",4,Positive,Books,2022-08-25,Bruce2145
An amazing read with a gripping story.,2,Negative,Books,2015-01-09,Patricia1995
Terrible fit and poor quality fabric. I would not recommend this to anyone.,4,Positive,Clothing,2017-10-31,Chelsea1778
An amazing read with a gripping story. Loved it!,5,Positive,Books,2016-10-31,Mallory7274
The device is fine but nothing exceptional.,3,Neutral,Electronics,2019-07-14,Cynthia2241
"The book is okay, but not my favorite genre.",3,Neutral,Books,2016-07-31,Todd9077
The device is fine but nothing exceptional.,2,Negative,Electronics,2023-07-06,Carlos9982
Terrible fit and poor quality fabric.,1,Negative,Clothing,2021-10-25,Philip6676
Terrible fit and poor quality fabric. I would not recommend this to anyone.,2,Negative,Clothing,2020-12-29,Paul9586
Fits perfectly and looks great!.,3,Neutral,Clothing,2023-04-18,Elizabeth2792
"The plot was boring, and the writing was subpar.",5,Positive,Books,2020-09-30,Jennifer6692
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,3,Neutral,Electronics,2015-07-16,Jonathan7226
"The plot was boring, and the writing was subpar.",3,Neutral,Books,2020-03-14,Todd7522
"The plot was boring, and the writing was subpar. I would not recommend this to anyone.",2,Negative,Books,2015-06-29,Joshua6184
Terrible fit and poor quality fabric.,3,Neutral,Clothing,2015-11-18,Timothy1761
The material is average but wearable.,4,Positive,Clothing,2015-01-07,Amy6020
This product works perfectly.,2,Negative,Electronics,2023-06-16,Gregory3252
This product works perfectly. Highly recommended!,1,Negative,Electronics,2023-06-03,Brandi1470
Fits perfectly and looks great! Would definitely consider buying again!,2,Negative,Clothing,2015-12-02,Richard2041
The device is fine but nothing exceptional. I would not recommend this to anyone.,4,Positive,Electronics,2015-07-30,Cameron1622
Fits perfectly and looks great!,2,Negative,Clothing,2023-08-06,Benjamin2570
It stopped working after a week. Really disappointed.,5,Positive,Electronics,2017-01-19,Janice3111
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,4,Positive,Electronics,2019-02-04,Jennifer8580
Fits perfectly and looks great!.,2,Negative,Clothing,2018-03-02,Hannah6620
Terrible fit and poor quality fabric.,3,Neutral,Clothing,2017-11-23,Mark9292
Terrible fit and poor quality fabric.,1,Negative,Clothing,2019-12-31,Sandra5779
"The book is okay, but not my favorite genre.",3,Neutral,Books,2020-03-21,Alex9156
Fits perfectly and looks great!,1,Negative,Clothing,2022-02-22,Jacob2758
The material is average but wearable.,4,Positive,Clothing,2022-12-13,Heather2722
The material is average but wearable. I would not recommend this to anyone.,2,Negative,Clothing,2019-08-20,Brianna1800
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,4,Positive,Electronics,2016-07-08,Michael9670
An amazing read with a gripping story. Loved it! Would definitely consider buying again!,2,Negative,Books,2019-09-04,Danielle9340
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,4,Positive,Electronics,2018-06-10,Douglas9859
Fits perfectly and looks great!.,2,Negative,Clothing,2022-09-18,Susan9509
"The book is okay, but not my favorite genre.",5,Positive,Books,2016-01-19,Ariel2918
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",5,Positive,Books,2015-09-06,Alyssa5387
It stopped working after a week.,3,Neutral,Electronics,2022-11-07,Joseph6099
Fits perfectly and looks great!.,2,Negative,Clothing,2019-03-17,Michele7331
"The plot was boring, and the writing was subpar. I would not recommend this to anyone.",5,Positive,Books,2020-07-10,Justin6646
The material is average but wearable.,3,Neutral,Clothing,2023-12-25,Andrew3649
It stopped working after a week.,3,Neutral,Electronics,2020-08-30,Blake7957
An amazing read with a gripping story.,2,Negative,Books,2020-03-11,Brian6102
Terrible fit and poor quality fabric. I would not recommend this to anyone.,5,Positive,Clothing,2018-10-07,Amy6389
Fits perfectly and looks great!.,4,Positive,Clothing,2017-11-13,Jeffrey2980
The device is fine but nothing exceptional.,4,Positive,Electronics,2016-09-01,Diana7020
Fits perfectly and looks great!.,2,Negative,Clothing,2021-05-17,Michael2040
Fits perfectly and looks great!,5,Positive,Clothing,2019-05-05,Jon7735
"The plot was boring, and the writing was subpar. I would not recommend this to anyone.",3,Neutral,Books,2022-05-09,Kristin2463
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",4,Positive,Books,2019-11-05,Gail2376
This product works perfectly. Highly recommended!,1,Negative,Electronics,2023-05-27,George8395
The device is fine but nothing exceptional.,3,Neutral,Electronics,2015-06-16,Michael2189
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",3,Neutral,Books,2018-06-05,Jeffery5141
Terrible fit and poor quality fabric.,3,Neutral,Clothing,2019-03-21,Jennifer3440
An amazing read with a gripping story. Loved it! Would definitely consider buying again!,4,Positive,Books,2016-07-22,Marc5254
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,4,Positive,Electronics,2016-11-13,Caroline6416
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,3,Neutral,Electronics,2021-10-24,Kayla4317
Terrible fit and poor quality fabric.,3,Neutral,Clothing,2018-11-22,Kathryn2292
"The book is okay, but not my favorite genre.",4,Positive,Books,2018-02-21,Kimberly8721
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,1,Negative,Electronics,2020-04-12,Melinda9064
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,1,Negative,Electronics,2020-05-20,John3966
This product works perfectly. Highly recommended! Would definitely consider buying again!,1,Negative,Electronics,2021-08-06,Michele5965
An amazing read with a gripping story.,2,Negative,Books,2019-11-24,Michael5161
This product works perfectly.,2,Negative,Electronics,2018-11-09,Holly7158
"The plot was boring, and the writing was subpar.",4,Positive,Books,2015-01-05,Steven6258
The material is average but wearable.,5,Positive,Clothing,2023-06-17,Daniel3267
Fits perfectly and looks great!.,2,Negative,Clothing,2020-03-08,Carrie4027
The material is average but wearable.,5,Positive,Clothing,2021-03-29,April1174
An amazing read with a gripping story.,5,Positive,Books,2022-12-26,Michael8832
It stopped working after a week.,2,Negative,Electronics,2021-08-23,Alex4393
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",5,Positive,Books,2022-04-12,Dominique9632
This product works perfectly. Highly recommended! Would definitely consider buying again!,3,Neutral,Electronics,2017-10-28,Nathaniel4545
This product works perfectly. Highly recommended!,2,Negative,Electronics,2018-04-12,Gary5964
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,5,Positive,Electronics,2019-09-01,Sarah8759
The device is fine but nothing exceptional.,4,Positive,Electronics,2021-01-16,Justin6386
"The plot was boring, and the writing was subpar.",1,Negative,Books,2015-07-17,Heidi7579
This product works perfectly. Highly recommended!,5,Positive,Electronics,2018-01-07,Sarah8332
"The plot was boring, and the writing was subpar.",5,Positive,Books,2021-10-13,Peter5801
"The book is okay, but not my favorite genre.",5,Positive,Books,2015-12-05,April3347
An amazing read with a gripping story. Loved it!,3,Neutral,Books,2018-07-13,Kimberly9874
Terrible fit and poor quality fabric.,5,Positive,Clothing,2019-05-12,Ashley9414
The device is fine but nothing exceptional.,3,Neutral,Electronics,2020-09-05,April3731
The device is fine but nothing exceptional.,5,Positive,Electronics,2018-08-02,Lisa4552
The material is average but wearable. I would not recommend this to anyone.,3,Neutral,Clothing,2020-09-08,Adrienne2043
Terrible fit and poor quality fabric. I would not recommend this to anyone.,2,Negative,Clothing,2015-12-01,April9180
It stopped working after a week.,4,Positive,Electronics,2023-09-14,Daniel9596
"The plot was boring, and the writing was subpar.",5,Positive,Books,2015-11-01,Stephanie7455
"The book is okay, but not my favorite genre.",4,Positive,Books,2016-09-23,Rhonda8055
The material is average but wearable. I would not recommend this to anyone.,5,Positive,Clothing,2015-08-21,Michael9223
Fits perfectly and looks great!.,3,Neutral,Clothing,2021-06-25,Julie1306
An amazing read with a gripping story. Loved it!,2,Negative,Books,2021-06-23,Gina8663
Fits perfectly and looks great! Would definitely consider buying again!,3,Neutral,Clothing,2019-08-07,Tamara2536
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",3,Neutral,Books,2022-11-23,Dawn6128
An amazing read with a gripping story.,5,Positive,Books,2022-04-04,Chelsea3467
Terrible fit and poor quality fabric.,1,Negative,Clothing,2022-05-18,Gregory6747
The device is fine but nothing exceptional. I would not recommend this to anyone.,3,Neutral,Electronics,2016-11-22,Brenda9223
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,4,Positive,Electronics,2016-09-27,Jamie8850
The material is average but wearable.,2,Negative,Clothing,2023-11-24,Christina1418
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,1,Negative,Electronics,2022-09-23,Christina6847
The device is fine but nothing exceptional. I would not recommend this to anyone.,4,Positive,Electronics,2021-02-10,Kristina3021
Terrible fit and poor quality fabric.,4,Positive,Clothing,2016-11-23,Richard5087
The material is average but wearable.,2,Negative,Clothing,2019-08-03,Sean9640
Fits perfectly and looks great!,4,Positive,Clothing,2017-10-08,Kelly2853
This product works perfectly.,5,Positive,Electronics,2023-07-27,Tiffany4532
The device is fine but nothing exceptional.,1,Negative,Electronics,2017-03-03,Amber5593
This product works perfectly. Highly recommended!,1,Negative,Electronics,2021-08-03,Joseph7002
Terrible fit and poor quality fabric.,3,Neutral,Clothing,2016-11-27,Angela1768
This product works perfectly. Highly recommended!,1,Negative,Electronics,2015-11-11,Donald9617
This product works perfectly. Highly recommended! Would definitely consider buying again!,1,Negative,Electronics,2022-01-23,Benjamin7602
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,3,Neutral,Electronics,2022-09-15,Sean4466
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,3,Neutral,Electronics,2020-01-13,Carl5264
Fits perfectly and looks great!,2,Negative,Clothing,2021-02-02,William3216
An amazing read with a gripping story. Loved it! Would definitely consider buying again!,3,Neutral,Books,2020-03-12,Samantha3110
The device is fine but nothing exceptional.,1,Negative,Electronics,2016-11-15,Robert9883
Terrible fit and poor quality fabric.,2,Negative,Clothing,2016-05-19,Lauren3917
"The plot was boring, and the writing was subpar.",5,Positive,Books,2019-01-03,James4299
This product works perfectly.,3,Neutral,Electronics,2019-09-25,Michael8714
Terrible fit and poor quality fabric.,4,Positive,Clothing,2022-03-20,Sara5955
Terrible fit and poor quality fabric.,2,Negative,Clothing,2022-02-20,Samuel3734
Terrible fit and poor quality fabric. I would not recommend this to anyone.,5,Positive,Clothing,2018-01-04,Tiffany6788
Terrible fit and poor quality fabric.,2,Negative,Clothing,2023-09-12,Brandon2957
An amazing read with a gripping story. Loved it! Would definitely consider buying again!,2,Negative,Books,2016-12-08,Brittany2754
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",4,Positive,Books,2022-07-07,Kaitlyn1940
"The book is okay, but not my favorite genre.",4,Positive,Books,2015-07-20,Daniel7538
"The plot was boring, and the writing was subpar. I would not recommend this to anyone.",4,Positive,Books,2023-07-12,Jennifer3848
Fits perfectly and looks great!.,1,Negative,Clothing,2017-09-04,Ashley1406
This product works perfectly. Highly recommended! Would definitely consider buying again!,3,Neutral,Electronics,2023-10-24,Hayley3569
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",4,Positive,Books,2022-08-15,Robert4709
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,5,Positive,Electronics,2016-12-04,Jay4944
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,2,Negative,Electronics,2020-01-20,Teresa8349
The material is average but wearable. I would not recommend this to anyone.,5,Positive,Clothing,2020-11-20,Cheyenne9995
"The plot was boring, and the writing was subpar. I would not recommend this to anyone.",3,Neutral,Books,2022-08-15,Andrea8599
"The plot was boring, and the writing was subpar. I would not recommend this to anyone.",3,Neutral,Books,2022-05-29,Megan3338
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,3,Neutral,Electronics,2020-09-06,Kathleen5147
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,3,Neutral,Electronics,2021-06-03,Justin3722
"The book is okay, but not my favorite genre.",2,Negative,Books,2021-08-10,April1383
It stopped working after a week.,1,Negative,Electronics,2022-01-26,Michele3669
Terrible fit and poor quality fabric.,5,Positive,Clothing,2020-03-13,Amber2822
This product works perfectly. Highly recommended!,2,Negative,Electronics,2017-08-26,Christina2168
It stopped working after a week. Really disappointed.,2,Negative,Electronics,2019-07-01,Andrew9284
Fits perfectly and looks great! Would definitely consider buying again!,5,Positive,Clothing,2019-07-23,Donald3858
Fits perfectly and looks great! Would definitely consider buying again!,3,Neutral,Clothing,2019-05-20,Scott6453
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,3,Neutral,Electronics,2020-11-15,Gordon3177
The device is fine but nothing exceptional. I would not recommend this to anyone.,5,Positive,Electronics,2020-12-26,Kimberly8534
Terrible fit and poor quality fabric.,5,Positive,Clothing,2022-01-13,Rachael1681
